Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_1042_1x18650",105.410000,-91.110000,-90.000000,top
"C1","10 uF","C0603",119.750000,-58.880835,-90.000000,top
"C2","1 uF","C0402",135.090915,-48.928817,180.000000,top
"C3","0.1 uF","C1206",168.750000,-52.992583,-90.000000,top
"C4","0.1 uF","C1206",157.919417,-57.404000,0.000000,top
"C5","0.1uF","C1206",169.110000,-129.363000,180.000000,top
"C6","0.1uF","C1206",177.814583,-129.871000,180.000000,top
"C7","10 uF","C0603",187.452000,-81.472025,90.000000,top
"C8","0.1uF","C_0201_0603Metric",166.646000,-126.633000,180.000000,top
"C10","1 uF","C0402",177.176915,-55.170000,180.000000,top
"C11","1 uF","C0402",177.176915,-61.266000,0.000000,top
"D1","D_Schottky","SMA_L4.2-W2.6-LS5.3-RD",119.850000,-52.615405,90.000000,top
"J1","USB_B_Micro","USB_Mini-B_Lumberg_2486_01_Horizontal",142.240000,-130.556000,0.000000,top
"J2","Battery  Jumper","PinHeader_1x02_P2.54mm_Vertical",116.332000,-49.784000,180.000000,top
"J3-Left1","Conn_01x24_Pin","PinHeader_1x24_P2.54mm_Vertical",120.400000,-69.360000,0.000000,top
"J4-Left1","Conn_01x24_Socket","PinSocket_1x24_P2.54mm_Vertical",133.020000,-69.340000,0.000000,top
"J5-Right1","Conn_01x24_Socket","PinSocket_1x24_P2.54mm_Vertical",151.600000,-69.340000,0.000000,top
"J6-Right1","Conn_01x24_Pin","PinHeader_1x24_P2.54mm_Vertical",163.400000,-69.340000,0.000000,top
"J7","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",169.164000,-71.120000,0.000000,top
"J8","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",183.896000,-49.276000,-90.000000,top
"J9","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",179.832000,-94.488000,90.000000,top
"J13","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",184.350000,-111.075000,0.000000,top
"R1","1k","R1206",124.968000,-48.928817,180.000000,top
"R2","100K","R_0201_0603Metric",116.840000,-64.861000,90.000000,top
"R3","100K","R_0201_0603Metric",118.176000,-66.040000,180.000000,top
"R4","700","R0603",162.396634,-51.950000,180.000000,top
"R5","10K","R0805",163.068000,-59.944000,180.000000,top
"R6","0","R0402",144.855183,-47.244000,0.000000,top
"R7","0","R0402",154.467183,-61.936000,180.000000,top
"R8","0","R0402",170.567183,-61.550000,0.000000,top
"R9","0","R0402",167.610000,-115.089000,180.000000,top
"R10","0","R0402",138.000000,-58.000000,0.000000,top
"R11","10k","R0805",183.240000,-82.584000,180.000000,top
"R12","10k","R0805",183.240000,-79.536000,180.000000,top
"R13","0","R0402",179.058000,-90.336000,0.000000,top
"R14","0","R0402",183.122000,-90.336000,0.000000,top
"R15","0","R0402",187.161000,-90.336000,0.000000,top
"R16","0","R0402",134.150000,-58.000000,0.000000,top
"R17","0","R0402",140.716000,-111.252000,0.000000,top
"R18","0","R0402",140.716000,-108.204000,0.000000,top
"R19","4.7k","R0402",146.304000,-111.327183,-90.000000,top
"R20","4.7k","R0402",146.304000,-106.680000,-90.000000,top
"R21","0","R0402",143.331183,-122.936000,0.000000,top
"R22","0","R0402",166.913183,-117.983000,180.000000,top
"R23","0","R0402",184.696000,-125.765817,90.000000,top
"R24","0","R0402",169.185183,-112.599000,0.000000,top
"R25","0","R0402",180.196000,-113.315817,-90.000000,top
"R27","0","R0402",123.950000,-61.532817,90.000000,top
"R28","0","R0402",183.492817,-53.296000,180.000000,top
"Rprog1","1k","R1206",135.173209,-52.484817,0.000000,top
"StatusLED","LED","LED0805-RD",130.471975,-48.928919,0.000000,top
"U1","CH340C","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",176.636000,-122.886000,0.000000,top
"U3","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",183.351000,-69.500000,180.000000,top
"U4","LTC4054ES5-4.2","TSOT-23-5",129.418500,-53.566817,0.000000,top
"U5","RT9073A-33GQZ","ZQFN-4L_L1.0-W1.0-P0.63-BL-EP",176.963056,-58.400000,0.000000,top
"U6","TPS2115ADRBR","SON-8_L3.0-W3.0-P0.65-LS3.0-BL-EP",162.684076,-54.890033,90.000000,top
"U7","M24C64-RMN6TP","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL",143.421105,-118.491001,-90.000000,top
